Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2025-02-04 15:55:56.793800,0.0,0.0,0.0,-0.003272492347489368,0.008726646259971648,0.001090830782496456
2025-02-04 15:55:56.900791,8.91,-3.87,-0.78,-0.05890486225480862,0.12762720155208535,-0.08726646259971647
2025-02-04 15:55:57.005388,9.08,-4.07,-0.92,-0.008726646259971648,0.002181661564992912,-0.04363323129985824
2025-02-04 15:55:57.112685,8.700000000000001,-3.91,-0.73,0.009817477042468103,-0.02181661564992912,0.008726646259971648
2025-02-04 15:55:57.218745,9.24,-4.17,-1.05,0.07308566242726255,0.028361600344907856,0.14835298641951802
2025-02-04 15:55:57.324813,11.28,-4.61,-0.68,-0.06981317007977318,0.1908953869368798,-0.10362892433716332
2025-02-04 15:55:57.431369,10.8,-4.16,-0.88,-0.11999138607461016,0.22143864884678055,-0.36106498900632694
2025-02-04 15:55:57.536998,9.31,-3.79,-0.64,-0.2007128639793479,0.05126904677733343,-0.28034351110158917
2025-02-04 15:55:57.641570,8.5,-4.0,-1.08,-0.1505346479845109,-0.16907877128695067,-0.4166973589136462
2025-02-04 15:55:57.746313,9.620000000000001,-2.5500000000000003,-0.45,-0.16253378659197193,-0.13962634015954636,-0.17998707911191522
2025-02-04 15:55:57.850887,10.22,-1.95,-0.74,-0.08072147790473774,0.10581058590215622,-0.26616271092913524
2025-02-04 15:55:57.955674,9.91,-1.78,-0.97,-0.1461713248545251,0.20289452554434081,-0.25634523388666713
2025-02-04 15:55:58.060524,9.83,-2.0100000000000002,-0.67,-0.2999784651865254,0.3272492347489368,-0.2454369260617026
2025-02-04 15:55:58.168045,8.82,-1.8800000000000001,-0.9,-0.5617778529856748,-0.15271630954950383,0.1538071403320003
2025-02-04 15:55:58.272846,8.89,-1.9000000000000001,-0.89,0.20507618710933373,-0.039269908169872414,-0.7504915783575618
2025-02-04 15:55:58.379651,10.1,-1.1500000000000001,-1.49,-0.07963064712224129,0.07526732399225546,-0.557414529855689
2025-02-04 15:55:58.485082,10.620000000000001,-0.58,-0.2,-0.21598449493429828,0.5148721293383273,-0.9512044423369096
2025-02-04 15:55:58.591680,7.5200000000000005,0.52,-0.23,0.12762720155208535,0.1265363707695889,-0.6490443155853913
2025-02-04 15:55:58.695769,5.17,1.84,0.11,-0.0818123086872342,0.210530341021816,-0.07853981633974483
2025-02-04 15:55:58.800260,6.3,-0.41000000000000003,0.61,0.0719948316447661,0.07635815477475191,0.41015237421866746
2025-02-04 15:55:58.904941,8.42,-0.09,0.42,-0.2530727415391778,-0.13308135546456762,0.6359543461954338
2025-02-04 15:55:59.009498,9.31,-0.93,-0.18,0.13744467859455345,-0.06763150851478027,0.4985096676008804
2025-02-04 15:55:59.114430,9.27,-0.6900000000000001,0.13,-0.1712604328519436,-0.24652775684419906,0.533416252640767
2025-02-04 15:55:59.220155,8.88,-1.27,0.18,-0.2454369260617026,-0.011999138607461015,0.4439681284760576
2025-02-04 15:55:59.326159,8.5,-2.31,-0.8,0.34470252726888007,-0.2912518189265537,0.7712173632249943
2025-02-04 15:55:59.432171,9.52,-4.68,-1.41,0.2694352032766246,-0.16253378659197193,0.32834006553143325
2025-02-04 15:55:59.538013,9.36,-3.35,0.27,-0.0818123086872342,0.03490658503988659,0.46142142099600086
2025-02-04 15:55:59.644440,10.97,-3.6,-1.12,-0.06326818538479445,-0.2650718801466388,0.15489797111449674
2025-02-04 15:55:59.749896,9.56,-3.62,-1.55,0.2814343418840856,0.14289883250703572,0.5497787143782138
2025-02-04 15:55:59.854532,9.26,-3.4,-2.57,0.16144295580947549,-0.3948807432637171,0.49632800603588745
2025-02-04 15:55:59.959354,8.68,-4.46,-1.49,0.18653206380689397,0.4286964975211072,0.2596177262341565
2025-02-04 15:56:00.063960,9.450000000000001,-4.51,-1.6600000000000001,-0.06326818538479445,0.23343778745424157,0.2476185876266955
2025-02-04 15:56:00.168520,9.9,-5.3100000000000005,-0.22,0.001090830782496456,0.4014257279586958,-0.18653206380689397
2025-02-04 15:56:00.273724,9.9,-5.21,-0.85,-0.07417649320975901,0.23671027980173096,-0.2694352032766246
2025-02-04 15:56:00.381012,11.69,-5.5,-0.25,0.031634092692397225,0.1712604328519436,-0.2454369260617026
2025-02-04 15:56:00.485735,10.4,-4.8,-0.51,-0.23671027980173096,0.09708393964218458,0.0272707695624114
2025-02-04 15:56:00.592956,10.11,-4.03,-0.47000000000000003,-0.02181661564992912,-0.13199052468207118,-0.3665191429188092
2025-02-04 15:56:00.699039,8.370000000000001,-3.65,-0.63,-0.00545415391248228,-0.4821472058634335,-0.5039638215133626
2025-02-04 15:56:00.805506,7.88,-2.57,-0.81,0.11126473981463851,-0.02399827721492203,-0.15707963267948966
2025-02-04 15:56:00.916412,8.97,-5.73,-1.94,0.6544984694978736,-0.42542400517361784,-0.3108867730114899
2025-02-04 15:56:01.025144,8.84,-3.39,-1.33,0.3763366199612773,0.07308566242726255,-0.6370451769779303
2025-02-04 15:56:01.136828,9.86,-2.91,-0.61,0.3196134192714616,0.5988660995905544,-0.5465062220307244
2025-02-04 15:56:01.248306,9.01,-2.09,-0.33,-0.06981317007977318,0.25089107997418486,-0.507236313860852
2025-02-04 15:56:01.360185,9.8,-1.35,0.2,-0.050178215994836975,0.20398535632683726,-0.9206611804270088
2025-02-04 15:56:01.469846,9.02,-0.5700000000000001,0.16,-0.10035643198967395,0.136353847812057,-0.5312345910757741
2025-02-04 15:56:01.580100,8.16,-0.04,0.22,-0.08290313946973066,-0.15817046346198613,-0.4690572364734761
