Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2025-02-04 16:13:23.650786,0.0,0.0,0.0,-0.025089107997418487,0.026179938779914945,-0.028361600344907856
2025-02-04 16:13:23.757771,9.44,-2.61,0.86,-0.09926560120717749,-0.011999138607461015,-0.15271630954950383
2025-02-04 16:13:23.863350,9.16,-2.32,1.56,-0.22252947962927702,-0.06326818538479445,-0.2552544031041707
2025-02-04 16:13:23.970351,9.73,-3.0500000000000003,1.6300000000000001,-0.11780972450961724,-0.030543261909900768,0.05126904677733343
2025-02-04 16:13:24.077310,9.1,-2.41,1.01,0.1189005552921137,-0.18216874067690814,-0.07635815477475191
2025-02-04 16:13:24.182341,9.6,-2.58,1.67,0.17671458676442586,-0.19198621771937624,-0.03490658503988659
2025-02-04 16:13:24.290000,8.76,-2.31,0.88,0.1189005552921137,-0.5214171140333059,-0.11453723216212788
2025-02-04 16:13:24.394543,9.05,-1.61,0.8,0.02399827721492203,-0.18871372537188688,-0.11126473981463851
2025-02-04 16:13:24.499122,9.69,-2.7600000000000002,-0.6900000000000001,-0.05345070834232634,-0.11344640137963143,0.1090830782496456
2025-02-04 16:13:24.603907,8.89,-2.37,-0.5700000000000001,-0.17671458676442586,0.06217735460229799,0.06544984694978735
2025-02-04 16:13:24.708443,9.41,-1.92,-1.3,-0.04908738521234052,-0.08944812416470939,0.05672320068981571
2025-02-04 16:13:24.813515,9.69,-2.1,-1.12,-0.35561083509384467,0.14508049407202864,0.02181661564992912
2025-02-04 16:13:24.918487,9.42,-2.32,-0.13,-0.14508049407202864,0.3817907738737596,-0.09272061651219876
2025-02-04 16:13:25.025496,8.69,-1.75,2.35,-0.037088246604879506,-0.08617563181722002,-0.15271630954950383
2025-02-04 16:13:25.131138,9.22,-2.6,0.64,0.21162117180431245,-0.07635815477475191,-0.07308566242726255
2025-02-04 16:13:25.237338,9.5,-2.48,2.16,-0.2912518189265537,-0.19416787928436915,0.014180800172453928
2025-02-04 16:13:25.343945,9.18,-1.99,0.35000000000000003,-0.5214171140333059,0.03490658503988659,0.05345070834232634
2025-02-04 16:13:25.449563,9.56,-1.96,0.09,-0.44505895925855404,0.31306843457648287,-0.14289883250703572
2025-02-04 16:13:25.554136,8.540000000000001,-1.8,0.79,-0.33161255787892263,0.2945243112740431,0.016362461737446838
2025-02-04 16:13:25.658954,9.71,-2.13,1.29,-0.07635815477475191,0.1810779098944117,-0.02399827721492203
2025-02-04 16:13:25.763424,9.41,-2.5500000000000003,0.97,-0.11780972450961724,0.09708393964218458,-0.11017390903214205
2025-02-04 16:13:25.867937,8.57,-2.07,1.41,0.3196134192714616,-0.15271630954950383,-0.1712604328519436
2025-02-04 16:13:25.972873,8.51,-2.25,1.37,0.0719948316447661,0.025089107997418487,-0.001090830782496456
2025-02-04 16:13:26.080339,9.26,-2.49,3.49,0.05890486225480862,-0.09272061651219876,0.07526732399225546
2025-02-04 16:13:26.185186,9.98,-2.13,0.7000000000000001,0.09708393964218458,-0.22362031041177347,0.1341721862470641
2025-02-04 16:13:26.292439,9.9,-2.45,0.81,0.21598449493429828,-0.05235987755982989,0.04581489286485115
2025-02-04 16:13:26.397892,9.43,-1.79,1.9100000000000001,0.1439896632895322,-0.10690141668465268,-0.05781403147231216
2025-02-04 16:13:26.504910,9.370000000000001,-2.02,0.88,-0.006544984694978736,-0.09708393964218458,0.04363323129985824
2025-02-04 16:13:26.609631,9.71,-2.5300000000000002,1.24,0.08508480103472356,-0.3076142806640006,0.013089969389957472
2025-02-04 16:13:26.714620,9.040000000000001,-1.97,1.27,-0.14835298641951802,-0.4788747135159442,-0.11344640137963143
2025-02-04 16:13:26.819419,9.22,-2.92,1.31,-0.15271630954950383,-0.1461713248545251,0.08726646259971647
2025-02-04 16:13:26.924205,7.68,-1.87,2.85,0.04363323129985824,0.06435901616729091,0.06763150851478027
2025-02-04 16:13:27.029565,9.700000000000001,-2.23,0.84,0.3621558197888234,0.40906154343617096,-0.1734420944169365
2025-02-04 16:13:27.137409,8.72,-1.62,0.56,0.7744898555724837,0.45814892864851153,0.2181661564992912
2025-02-04 16:13:27.242383,10.290000000000001,-2.89,-0.47000000000000003,0.16580627893946132,0.14180800172453928,0.22689280275926285
2025-02-04 16:13:27.349449,9.13,-2.05,1.5,0.07853981633974483,-0.12544553998709243,0.19525871006686563
2025-02-04 16:13:27.455283,9.52,-2.59,-0.45,-0.15162547876700738,-0.03381575425739013,0.17016960206944712
2025-02-04 16:13:27.562354,9.01,-2.35,-3.0,-0.16035212502697901,0.05126904677733343,-0.16471544815696484
2025-02-04 16:13:27.667081,9.55,-2.71,-0.38,-0.3817907738737596,0.04036073895236887,-0.08508480103472356
2025-02-04 16:13:27.775353,9.75,-2.47,-2.19,0.47123889803846897,-0.05235987755982989,0.07308566242726255
2025-02-04 16:13:27.885843,9.56,-2.11,-1.3800000000000001,-0.13962634015954636,0.06435901616729091,0.0545415391248228
2025-02-04 16:13:27.997779,9.59,-2.57,-0.49,-0.38288160465625604,0.015271630954950384,-0.025089107997418487
2025-02-04 16:13:28.109994,9.31,-2.33,-0.1,-0.1734420944169365,-0.04036073895236887,-0.08944812416470939
2025-02-04 16:13:28.220379,9.44,-2.2600000000000002,-0.25,0.04363323129985824,-0.006544984694978736,0.02181661564992912
2025-02-04 16:13:28.330371,9.13,325.46,-0.13,0.07090400086226964,0.004363323129985824,-0.05345070834232634
2025-02-04 16:13:28.441057,9.93,-1.8900000000000001,-3.0300000000000002,0.14508049407202864,0.08072147790473774,0.09381144729469522
2025-02-04 16:13:28.551109,10.36,-2.2,-2.85,-0.18762289458939044,0.28688849579656794,0.20507618710933373
2025-02-04 16:13:28.661489,9.32,-2.71,-2.92,-0.001090830782496456,-0.02945243112740431,-0.07853981633974483
2025-02-04 16:13:28.771452,9.94,-3.5500000000000003,-0.52,0.1461713248545251,0.21925698728178766,-0.34470252726888007
2025-02-04 16:13:28.879896,9.74,-2.87,1.72,0.037088246604879506,-0.4341506514335895,-0.3043417883165112
2025-02-04 16:13:28.989409,8.73,-2.22,1.6,0.02399827721492203,0.06763150851478027,-0.12326387842209953
2025-02-04 16:13:29.099911,9.55,-2.06,2.09,0.8366672101747817,-0.11562806294462433,-0.1908953869368798
2025-02-04 16:13:29.211070,8.8,-1.73,1.71,0.10690141668465268,0.14726215563702155,-0.04908738521234052
2025-02-04 16:13:29.321988,9.57,-1.61,2.22,-0.2781618495365963,0.3490658503988659,-0.032724923474893676
2025-02-04 16:13:29.430811,9.27,-1.1500000000000001,3.46,0.1439896632895322,0.032724923474893676,-0.12544553998709243
2025-02-04 16:13:29.539211,9.51,-0.9400000000000001,2.34,0.17889624832941878,0.002181661564992912,-0.20398535632683726
