Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2025-02-04 16:00:35.616391,0.0,0.0,0.0,0.02399827721492203,0.06872233929727672,-0.025089107997418487
2025-02-04 16:00:35.723311,9.23,-1.68,-0.26,-0.016362461737446838,0.22907446432425577,-0.006544984694978736
2025-02-04 16:00:35.828992,9.27,-2.81,-0.63,-0.011999138607461015,-0.008726646259971648,-0.05999569303730508
2025-02-04 16:00:35.935821,9.68,-2.6,-1.08,-0.05235987755982989,-0.18762289458939044,-0.07744898555724837
2025-02-04 16:00:36.042753,9.5,-1.96,-0.67,0.32070425005395803,0.3392483733563978,-0.19525871006686563
2025-02-04 16:00:36.147853,9.51,-1.46,-0.49,0.032724923474893676,1.5293447570600314,-0.6741334235828098
2025-02-04 16:00:36.255495,8.25,-0.89,1.3,0.35015668118136234,1.7715091907742444,-1.0231992739816758
2025-02-04 16:00:36.359988,8.89,-1.97,4.34,0.031634092692397225,2.370375290364799,-0.2748893571891069
2025-02-04 16:00:36.464501,6.87,-1.06,5.76,-0.008726646259971648,2.3812835981897633,-0.32179508083645453
2025-02-04 16:00:36.569082,5.73,-0.51,7.2700000000000005,-0.3272492347489368,2.493639168786898,-0.05672320068981571
2025-02-04 16:00:36.673584,3.68,-1.59,7.930000000000001,-0.44178646691106466,1.9645862392761173,-0.05890486225480862
2025-02-04 16:00:36.778639,2.14,0.4,10.14,-0.07308566242726255,1.906772207803805,-0.008726646259971648
2025-02-04 16:00:36.883226,-0.3,-1.67,8.78,-0.00545415391248228,1.4606224177627545,-0.05672320068981571
2025-02-04 16:00:36.990409,-1.78,-2.39,9.86,-0.08399397025222712,0.5377795757707527,-0.06435901616729091
2025-02-04 16:00:37.095307,-1.07,-1.26,10.65,0.07417649320975901,-1.2162763224835484,-0.04690572364734761
2025-02-04 16:00:37.202283,0.09,-1.73,10.200000000000001,-0.032724923474893676,-3.1612276076747294,0.1636246173744684
2025-02-04 16:00:37.307766,3.14,-2.15,7.99,0.18216874067690814,-4.593488425092576,0.8432121948697605
2025-02-04 16:00:37.414323,4.3100000000000005,-1.6300000000000001,5.67,0.6872233929727672,-3.9477166018546743,1.2849986617808251
2025-02-04 16:00:37.518823,8.77,-2.64,2.0300000000000002,0.07635815477475191,-3.8320885389100496,1.6155203888772514
2025-02-04 16:00:37.623517,8.03,-2.75,-1.25,-0.04363323129985824,-3.5037484733786166,1.6515178046996344
2025-02-04 16:00:37.728014,5.86,-4.41,-4.03,-0.7646723785300157,-3.3793937641740204,0.9522952731194061
2025-02-04 16:00:37.832523,4.96,-3.24,-7.930000000000001,-0.7101308394051928,-3.224495793059524,0.27707101875409984
2025-02-04 16:00:37.937235,2.91,-3.67,-8.84,-0.6774059159302992,-2.2754730122876072,0.8028514559173916
2025-02-04 16:00:38.043667,-0.85,-2.73,-9.48,-0.519235452468313,-2.5656340004316642,0.7941248096574199
2025-02-04 16:00:38.149320,-1.4000000000000001,-3.6,-9.08,0.29888763440402893,-0.7483099167925688,0.4788747135159442
2025-02-04 16:00:38.256307,-1.47,-3.38,-10.17,0.20943951023931956,1.0177451200691934,-0.4854196982109229
2025-02-04 16:00:38.361308,0.46,-4.04,-10.58,0.4559672670835186,2.289653812460061,-0.9064803802545549
2025-02-04 16:00:38.468920,1.6,-3.3200000000000003,-11.71,-0.050178215994836975,3.4601152420787584,-1.50207398749762
2025-02-04 16:00:38.573376,4.18,-1.2,-2.48,0.8999353955595761,5.576326960121883,-1.772600021556741
2025-02-04 16:00:38.677871,6.19,-2.67,0.07,0.2716168648416175,4.598942579005058,-1.2239121379610236
2025-02-04 16:00:38.782578,7.5,-2.6,5.23,0.6566801310628665,4.25969420564866,-0.8170322560898455
2025-02-04 16:00:38.887134,4.76,-0.8,7.23,0.4188790204786391,4.318599067903469,-0.5803219762881145
2025-02-04 16:00:38.992231,2.22,1.59,9.73,0.24870941840919197,3.2114058236695664,-0.5225079448158024
2025-02-04 16:00:39.097154,-0.37,-0.07,9.21,0.11780972450961724,2.2252947962927703,-0.22143864884678055
2025-02-04 16:00:39.204076,-2.44,-0.27,10.59,0.27707101875409984,1.2599095537834066,-0.1712604328519436
2025-02-04 16:00:39.309440,-2.05,-0.07,10.72,-0.36324665057131983,-1.5086189721925987,0.22252947962927702
2025-02-04 16:00:39.415908,0.53,-0.52,9.77,-0.45487643630102215,-2.438006798879579,0.5475970528132209
2025-02-04 16:00:39.522623,1.68,0.24,9.39,-0.15707963267948966,-2.770710187540998,0.3567016658763411
2025-02-04 16:00:39.628428,5.68,-1.34,7.0200000000000005,-0.05345070834232634,-3.7208237990954114,1.066832505281534
2025-02-04 16:00:39.732930,8.01,-1.28,3.99,-0.07744898555724837,-4.062253834016802,1.1584622910112363
2025-02-04 16:00:39.842131,7.26,-2.05,-0.25,-0.46687557490848314,-4.025165587411922,1.1824605682261582
2025-02-04 16:00:39.950881,7.05,-3.8000000000000003,-3.48,-0.6512259771503842,-3.877903431774901,1.004655150679236
2025-02-04 16:00:40.062152,5.17,-3.5,-7.5600000000000005,-0.8584838258247108,-3.462296903643751,1.1344640137963142
2025-02-04 16:00:40.172919,3.2,-2.57,-9.870000000000001,-0.4036073895236887,-2.6561729553788704,1.040652566501619
2025-02-04 16:00:40.283474,0.86,-3.4,-10.01,0.020725784867432664,-1.782417498599209,0.9490227807719167
2025-02-04 16:00:40.391701,0.84,-5.34,-9.19,-0.2476185876266955,-1.3319043854281727,0.9272061651219876
